Frame#,Time (sec),r hfm (mm),r lm (mm),r le (mm),r gt (mm),r wrist (mm),r elbo(mm),r shoulder,l hfm (mm),l lm (mm),l le (mm),l gt (mm),l wrist (mm),l elbow (mm),l shoulder,r asis (mm),l asis (mm),forehead (mm),r foot,r shank,r thigh,l foot,l shank,l thigh ,r forearm,r upperarm,l forearm,l upperarm,pelvis,trunk,head&neck,r foot,r shank,r thigh,l foot,l shank,l thigh,r Forearm,r Upperarm,l Forearm,l Upperarm,pelvis,trunk,head&neck,Whole Body COM (mm)
28,0.46760,48.06932,74.26980,481.04622,879.10523,818.56600,1054.55865,1394.99428,47.81893,78.96115,475.84354,876.14957,820.93241,1059.19058,1398.69814,936.23488,933.63515,1598.52431,122.30331,423.74350,399.31021,119.42106,413.39957,400.60710,253.18558,341.73734,250.33021,339.51072,104.73621,466.96412,293.87744,167.63152,73.72187,85.45202,165.34026,74.19925,87.76714,111.24536,84.98649,107.87555,89.74116,33.16819,81.55298,56.26820,
29,0.48430,48.07411,74.29150,480.97419,879.04381,818.15794,1054.50257,1394.94631,47.81389,78.04563,475.84071,876.65703,821.03024,1059.03620,1398.74123,935.99612,933.69783,1598.44499,122.26499,423.77336,399.31353,119.80029,412.66690,401.10121,253.23827,341.81071,250.06463,339.71048,104.72388,466.95764,293.81550,167.61946,73.66291,85.46527,164.95997,74.11912,87.82901,111.05539,84.86311,107.87514,89.66367,32.96954,81.63026,56.23150,
30,0.50100,47.87158,74.06166,480.83511,878.77516,817.71839,1054.39884,1394.89191,47.87812,78.90526,475.86799,876.29321,821.11018,1058.88565,1398.76642,935.68319,933.92241,1598.35009,122.45291,424.04566,399.17169,119.33429,413.52045,400.69959,253.26712,341.92836,249.80715,339.88930,105.05150,466.89097,293.75874,167.65184,73.58114,85.48687,165.35873,74.15254,87.86820,110.85997,84.73741,107.86424,89.58240,33.03049,81.71129,56.19698,
31,0.51770,47.71970,73.81044,480.58640,878.44120,817.48850,1054.32866,1394.74132,47.92419,78.04563,475.85210,877.21315,821.06957,1058.96816,1398.72577,935.59155,933.81160,1598.25983,122.66560,424.24882,399.06207,120.21212,412.79131,401.61924,253.14533,341.92065,249.86145,339.77078,104.92965,466.78701,293.77848,167.72108,73.48944,85.53101,165.01312,74.00900,87.93402,110.68536,84.60592,107.81074,89.48392,32.81728,81.80428,56.18437,
32,0.53440,47.87476,73.78906,480.02735,878.33524,817.04330,1054.33695,1394.53981,47.92948,79.01472,475.83290,877.66007,820.98236,1059.06140,1398.71670,935.54392,933.74079,1598.08708,122.67877,423.87480,399.47029,120.57418,412.84114,402.06887,253.29216,341.77037,249.95049,339.67465,104.92617,466.63735,293.81770,167.80672,73.40444,85.61694,165.04132,73.95430,88.00179,110.48191,84.49942,107.73887,89.37683,32.66939,81.89276,56.16147,
33,0.55110,47.99540,73.55759,479.47978,878.30794,816.50830,1054.26387,1394.37881,47.91986,79.05632,475.72404,877.38086,820.77444,1059.10235,1398.77069,935.51336,933.71980,1597.89216,122.69663,423.74239,399.94518,120.24304,412.72685,401.88996,253.44550,341.74085,250.08721,339.69459,105.08895,466.49195,293.80179,167.97667,73.31507,85.70569,165.00317,73.96372,88.03689,110.27524,84.39778,107.64941,89.27628,32.69505,81.99474,56.11546,
34,0.56780,47.71105,73.28373,479.28395,877.82776,815.98947,1053.85908,1394.10846,47.86153,79.03856,475.58813,877.09190,820.55926,1059.15355,1398.65015,935.44682,933.64698,1597.76508,122.92491,424.04742,399.61452,119.40632,413.28376,401.72618,253.32683,341.93806,250.22048,339.53175,105.22768,466.23704,293.86137,167.99434,73.21453,85.79370,165.26540,74.03011,88.08191,110.12759,84.29246,107.54379,89.16395,32.85041,82.10744,56.09567,
35,0.58450,47.42213,73.22261,479.05506,876.63314,815.37844,1053.26836,1393.75262,47.82166,78.23544,475.45489,877.03678,820.52787,1059.21135,1398.50149,935.17005,933.49601,1597.62892,123.13351,424.11574,398.59085,120.21555,412.44968,401.78676,253.11744,342.23454,250.20518,339.33820,105.39849,466.08194,293.97241,167.90661,73.10575,85.90357,164.86389,73.87358,88.15877,109.98436,84.19193,107.46475,89.02408,33.05662,82.21143,56.09821,
36,0.60120,47.36365,73.20235,478.56441,877.15991,814.84998,1053.02098,1393.47869,47.87591,79.21547,475.35154,876.51687,820.40695,1059.27937,1398.55005,933.93593,933.43676,1597.45743,123.10887,423.89905,399.56996,120.48707,412.43982,401.34991,253.14739,342.27008,250.29099,339.33369,105.04202,466.49228,293.97372,167.88596,72.98378,85.98651,164.89164,73.79237,88.25078,109.81612,84.09024,107.38286,88.88427,32.76061,82.32793,56.08138,
37,0.61790,47.28978,73.20083,478.27679,876.49591,814.49201,1052.92262,1393.23921,47.93031,79.28428,475.37334,877.05279,820.21468,1059.39382,1398.60863,933.65015,933.46026,1597.18114,123.04478,423.88479,399.13213,120.13801,412.47804,401.85166,253.23120,342.18437,250.45489,339.29493,105.06238,466.43793,293.94374,167.84510,72.85833,86.11269,164.88260,73.79406,88.31109,109.69508,83.99994,107.26736,88.74332,32.70996,82.41554,56.02046,
38,0.63460,47.26129,73.24473,478.16773,876.63066,814.02730,1052.73463,1392.98364,47.92784,79.26599,475.49059,877.29007,820.13455,1059.56070,1398.59299,933.04419,933.31276,1596.73460,123.02220,424.03871,399.35613,119.43487,413.32869,401.95829,253.38750,342.16462,250.54125,339.13295,105.03712,466.58549,293.99729,167.80835,72.72125,86.15605,165.17880,73.83524,88.37793,109.60795,83.92348,107.14009,88.59247,32.35473,82.50442,55.91515,
39,0.65130,47.26904,73.28930,477.85043,876.40556,813.48084,1052.45671,1392.69955,47.93031,78.48358,475.56756,877.37735,820.05142,1059.72488,1398.62027,932.77380,932.72847,1596.21343,122.93197,423.96441,399.39787,120.31431,412.48651,401.95488,253.50740,342.19257,250.64195,339.02133,104.87772,466.77940,293.82945,167.78171,72.58932,86.26612,164.65519,73.63513,88.44905,109.50285,83.86989,107.02246,88.42674,32.17829,82.60561,55.81452,
40,0.66800,47.36510,72.89117,477.36523,875.56939,812.87645,1052.28250,1392.48532,47.97819,79.77280,475.65210,876.80090,819.97460,1059.80918,1398.72666,932.40947,932.13026,1595.74505,122.52195,424.08170,398.99133,120.55037,412.57007,401.27906,253.76821,342.17758,250.68223,339.07369,105.02974,467.11325,293.55484,167.97654,72.49966,86.38913,164.57307,73.50124,88.52856,109.37778,83.83058,106.92644,88.24932,32.27119,82.69806,55.71875,
41,0.68470,47.45736,72.47134,476.99459,875.26589,812.22398,1051.88762,1392.30346,48.01886,80.04976,475.67362,878.14353,820.02239,1059.89706,1398.79033,932.10166,931.87044,1595.40560,122.16960,424.36141,398.99847,120.58646,412.70312,402.60002,253.88426,342.40698,250.61565,339.08256,104.88290,467.26029,293.70678,168.18678,72.40219,86.52910,164.50944,73.36222,88.53184,109.27676,83.80715,106.84471,88.07404,31.80403,82.77465,55.62561,
42,0.70140,47.35994,72.42459,476.52335,875.03228,811.97037,1051.16831,1392.07545,48.03634,80.22912,475.63316,877.14731,820.16826,1060.14772,1398.78117,932.72817,932.03409,1595.07530,122.16395,424.29576,399.17938,120.62532,412.88108,401.62734,253.27189,342.88894,250.57931,338.85639,105.31737,466.66896,293.92543,168.16195,72.24119,86.66754,164.49466,73.23236,88.62819,109.19958,83.82602,106.73418,87.91014,32.30531,82.84634,55.54473,
43,0.71810,47.24659,72.34754,475.92990,874.26429,811.59073,1050.81753,1391.81732,48.02423,80.28698,475.57770,877.78239,820.22225,1060.35787,1398.73632,930.96884,932.19647,1594.76261,122.17667,424.22179,398.95109,120.19709,412.59145,402.30676,253.19794,342.97478,250.59322,338.64025,104.79225,467.21273,293.70899,168.14581,72.04469,86.80257,164.25951,73.17148,88.69784,109.13153,83.83740,106.62033,87.73553,32.01383,82.95308,55.48171,
44,0.73480,47.55276,72.16654,475.52438,872.82397,810.95333,1050.50169,1391.36299,47.97485,80.63550,475.54306,877.19623,820.16538,1060.48760,1398.68608,930.77422,932.07414,1594.48603,121.91049,424.39330,397.86380,119.75953,412.45146,401.74554,253.46761,342.85255,250.68282,338.50386,105.15453,467.03040,293.58283,168.35340,71.87562,86.93701,164.01256,73.06184,88.75982,109.08540,83.81099,106.53960,87.55472,32.44063,83.04089,55.43452,
45,0.75150,47.84727,70.85594,474.82647,873.02828,810.20088,1049.99182,1390.75373,47.96843,80.96398,475.57873,877.51934,820.09603,1060.67648,1398.66578,930.19380,931.63404,1594.18999,121.16873,425.28703,398.71921,119.70247,412.94484,402.02592,253.62985,342.77807,250.82933,338.34036,104.74908,467.13905,293.72608,169.05508,71.77334,87.06951,164.00423,72.85771,88.80815,109.02363,83.77177,106.44480,87.37838,32.08073,83.13029,55.41066,
46,0.76820,47.51905,71.86327,474.30445,872.41687,809.43356,1049.47596,1390.08475,47.99402,80.95858,475.47715,877.65303,820.05505,1060.87744,1398.61397,929.27777,931.17009,1593.84669,121.88418,424.47005,398.59258,118.74685,414.12008,402.25863,253.82344,342.65135,250.90426,338.14467,104.41195,467.37369,293.73670,168.48019,71.45087,87.17607,164.34117,72.71043,88.82631,108.97616,83.73001,106.30699,87.17332,31.90472,83.23021,55.41308,
47,0.78490,47.25340,70.81619,474.10586,871.55393,808.72094,1048.66435,1389.47249,48.00005,80.04888,475.55033,877.80934,820.01226,1060.99203,1398.53560,929.23614,931.03226,1593.39545,121.54595,425.76391,397.89727,119.50412,413.42706,402.35552,253.68098,342.85334,250.88949,338.01643,104.55532,467.03918,293.63117,168.82336,71.29148,87.26591,163.54960,72.22156,88.73354,108.95132,83.72778,106.16681,86.95773,32.02602,83.31051,55.37304,
48,0.80160,47.49541,71.71269,473.45558,870.95240,807.69112,1047.78531,1388.91733,47.98538,81.84611,475.06871,877.96260,819.90182,1060.68009,1398.24897,927.70211,930.68967,1592.85558,121.66491,424.90061,397.92493,119.47467,413.17141,403.02365,253.80563,343.16081,250.54936,338.10497,103.99120,467.43903,293.55785,168.52014,70.98727,87.33069,163.07649,71.70176,88.53450,108.92844,83.75580,106.06362,86.76181,31.75675,83.43848,55.30510,
49,0.81830,47.67611,70.58480,472.49138,870.31414,806.86145,1047.06589,1388.21214,47.95402,82.76821,474.46345,878.16599,819.69676,1060.41816,1397.79407,927.19669,930.53883,1592.25974,121.05916,425.57962,398.23414,119.33610,413.77040,403.89936,253.94968,343.15858,250.33414,337.98066,103.84439,467.08283,293.51820,169.09324,70.79051,87.38416,162.87323,71.04807,88.19980,108.94654,83.78113,105.93906,86.56073,31.73507,83.54903,55.26254,
50,0.83500,47.78778,71.39609,471.70978,869.42091,806.26300,1046.20876,1387.41290,47.92042,83.10135,474.55386,878.36791,819.36200,1060.59485,1397.57956,926.79591,930.54583,1591.61777,121.34028,424.80765,398.09074,119.03014,414.88900,404.13539,253.74826,343.18302,250.61168,337.65773,103.68784,466.66704,293.53125,168.78227,70.43937,87.48630,162.37166,70.28102,87.70362,108.99390,83.83320,105.73406,86.37064,31.88534,83.66296,55.21821,
51,0.85170,47.95319,70.42836,471.28995,868.33659,805.70941,1045.46179,1386.61740,47.91371,83.97219,473.76904,878.48171,818.97796,1060.77646,1397.44902,926.30758,930.42753,1590.94845,120.60275,425.80412,397.39179,118.93714,414.88513,405.26365,253.70428,343.11879,250.92416,337.41791,103.50898,466.38596,293.69281,169.26113,70.28273,87.60048,161.44623,69.25340,87.00068,109.09898,83.85712,105.50937,86.17981,32.06571,83.79779,55.16676,
52,0.86840,47.65678,71.14895,470.41229,867.17374,805.21117,1044.80562,1386.04191,47.91845,85.76359,472.17772,878.55971,818.62924,1060.90169,1397.23471,925.41170,930.19209,1590.45646,121.01723,424.99152,397.08724,118.60899,414.46592,407.33594,253.78045,343.18992,251.17662,337.16878,103.33925,466.41502,293.74171,168.80798,69.95232,87.66752,160.32534,68.00412,86.06684,109.25704,83.87269,105.31126,85.95384,32.10947,83.96152,55.12641,
53,0.88510,47.32246,70.24277,469.10859,865.89560,804.41221,1043.94257,1385.49960,47.88570,87.85656,471.78650,878.70409,818.38933,1061.03634,1396.97868,924.19687,929.88763,1589.96779,120.48287,425.15402,397.09569,117.70904,415.07946,408.55324,253.88768,343.44061,251.33645,336.88888,103.15386,466.63400,293.67019,169.03480,69.73707,87.72933,158.72154,66.67411,84.86034,109.36988,83.98565,105.11972,85.69288,32.04773,84.13073,55.10308,
54,0.90180,47.86713,71.22380,468.14913,864.47011,803.85946,1043.16225,1384.64866,47.88717,90.60771,472.42801,878.79459,818.03746,1061.00836,1396.64178,923.76424,929.61481,1589.23470,120.67233,424.16254,396.59893,117.18317,416.09960,409.12108,253.90079,343.29445,251.46472,336.71421,103.16463,466.24168,293.41888,168.84115,69.34649,87.84340,156.35273,65.12811,83.33682,109.53253,84.10609,104.94389,85.39702,32.25044,84.31302,55.07967,
55,0.91850,48.45050,71.82161,467.51230,863.91373,803.62589,1042.29857,1383.72057,48.02798,94.89566,472.03020,878.69263,817.63440,1060.51079,1396.13499,922.75703,928.94378,1588.40219,120.14076,423.53753,396.66878,116.94500,416.09284,411.11218,253.69217,343.17485,251.16570,336.84475,102.98681,466.17418,293.21040,168.78413,69.09864,87.88490,153.43114,63.28081,81.55185,109.82336,84.19563,104.77084,85.10995,31.97783,84.55272,55.04955,
56,0.93520,48.48513,71.98846,467.11322,862.81304,803.27848,1041.20528,1382.83954,48.53345,100.34062,471.17417,877.77417,817.19516,1060.06682,1395.41423,921.69874,928.16930,1587.60070,119.79148,423.52069,395.93300,116.80973,415.02797,413.31232,253.50273,343.33144,250.94110,336.72120,103.14507,466.12050,293.06803,168.68652,68.89093,88.02209,149.99247,61.34254,79.64958,110.19841,84.28974,104.57926,84.81163,31.98397,84.77645,55.02909,
57,0.95190,48.47082,71.70542,466.33424,861.84320,802.98299,1040.23301,1381.85919,49.65811,106.95847,471.59600,875.65620,816.48447,1059.67030,1394.49959,920.70852,927.50961,1586.64527,119.44228,423.56015,395.69659,116.95514,414.02789,413.55462,253.60893,343.30225,251.03190,336.38122,103.27790,465.81406,292.87496,168.78443,68.69167,88.22403,146.22534,59.53956,77.68894,110.70064,84.32509,104.37254,84.48320,32.40914,85.02983,55.00089,
